roll_number,schoolname,address1,address2,address3,address4,county,local_auth,principalfirstname,principallastname,eircode,latitude,longitude,phone_no,email,schooltype
15170J,CASHELSHANAGHAN N S,Ballymaleel,Letterkenny,Co. Donegal,NULL,Donegal,Donegal County Council,Julie,Carr,F92RF67,55.0004458,-7.6610273,749151803,cashelshanaghan@gmail.com,primary
15177A,CARRIGDUFF NAT SCHOOL,Carrigduff,Bunclody,Enniscorthy,Co. Wexford,Wexford,Wexford County Council,Carolyn,Good,Y21TP49,52.656986,-6.665168,539377346,officecarrigduffns@gmail.com,primary
15194A,NAOMH CAILLIN,Commons,Fenagh,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Orla,Redican,N41TK60,54.0266876,-7.8602786,719645244,fenaghns@gmail.com,primary
15208I,Scoil an tStratha Mhóir,Mín an Lábáin,Leitir Ceanainn,Co. Dhún na nGall,NULL,Donegal,Donegal County Council,Therese,McMonagle,F92P280,54.9558392,-7.7342787,749137454,stramore99@gmail.com,primary
15217J,ARDKEERIN N S,Ardeeran,Riverstown,Co. Sligo,NULL,Sligo,Sligo County Council,Edel,Lavin,F52E244,54.1287649,-8.3957994,719165411,admin@ardkeeran.com,primary
15221A,ANNAGH N S,Annagh,Miltown Malbay,Co. Clare,NULL,Clare,Clare County Council,Michael,King,V95NP38,52.8220525,-9.41445,657084850,annaghns@gmail.com,primary
15226K,CAHERLINE N S,Caherline,Caherconlish,Co. Limerick,NULL,Limerick,Limerick County Council,Gearóid,Power,V94KX74,52.5686741,-8.4538045,61351657,caherlinenationalschool@gmail.com,primary
15253N,ST PATRICKS GIRLS NS,Cambridge Road,Ringsend,Dublin 4,NULL,Dublin,Dublin City Council,Anne,Smith,D04CH58,53.3433566,-6.2255493,16685928,ringsendgns@gmail.com,primary
15255R,DON N S,Ballaghadereen,Co. Roscommon,NULL,NULL,Roscommon,Roscommon County Council,Michael,Solan,F45XV82,53.862433,-8.5437711,949880478,donns.ias@eircom.net,primary
15257V,QUIGNAMANGER N S,Creggs Road,Ballina,Co. Mayo,NULL,Mayo,Mayo County Council,Hugh,Lynn,F26YX95,54.1316662,-9.1302466,9622842,quaynationalschool@gmail.com,primary
15259C,S N N MAOLMHAODHAGH C,Anne Stret,Dundalk,Co. Louth,NULL,Louth,Louth County Council,Brigid,Mary Galligan,A91N286,53.9979451,-6.405957,429338156,bridgalligan@eircom.net,primary
15260K,S N N MAOLMHAODHAGH N,Anne Street,Dundalk,Co. Louth,NULL,Louth,Louth County Council,Teresa,McCarthy,A91N286,54.0008006,-6.407115,429338130,stmalachysinfants@eircom.net,primary
15279I,CLOONEY N S,Carrahan,Tulla,Co. Clare,NULL,Clare,Clare County Council,Shane,Greene,V95WC56,52.8711731,-8.8615103,656835806,clooneyns@gmail.com,primary
15284B,TANEY N S,Sydenham Villas,Dundrum,Dublin 14,NULL,Dublin,Dun Laoghaire Rathdown,Elizabeth,Carpenter,D14PN29,53.288738,-6.2381874,12985015,ecarpenter@taneyschool.ie,primary
15285D,SC NA GCREAGACHA DUBHA,Sandy Lane,Blackrock,Co. Louth,NULL,Louth,Louth County Council,Catherine,Dempsey,A91AK57,33.836081,-81.1637245,429321598,blackrockschool@gmail.com,primary
15291V,STREAMSTOWN MIXED N S,Streamstown,Co. Westmeath,NULL,NULL,Westmeath,Westmeath County Council,Helena,Farrell,N91XE40,53.6318169,-7.2907143,449226901,streamstownschool@gmail.com,primary
15299O,GAILE N S,Holycross,Thurles,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Donal,Ryan,E41YK70,52.6031026,-7.8672223,879663959,gaile.ias@eircom.net,primary
15301V,KILDYSART N S,Ennis Road,Kildysart,Co. Clare,NULL,Clare,Clare County Council,Kathleen,Ryan,V95DK19,52.6769373,-9.1038959,656832477,Kildysartns.ias@eircom.net,primary
15307K,DALYSTOWN N S,Dalystown,Mullingar,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Charlie,Moore,N91W207,53.4351959,-7.3855842,449223604,dalystownns@gmail.com,primary
15308M,ATHLEAGUE N S,Athleague,Co. Roscommon,NULL,NULL,Roscommon,Roscommon County Council,Avril,Egan,F42VF95,53.5680369,-8.2493809,906663420,athleaguens@gmail.com,primary
15315J,ST GEORGES N S,Naul Road,Balbriggan,Co. Dublin,NULL,Dublin,Fingal County Council,Elaine,Browne,K32KC95,53.6072119,-6.2039158,18410107,office@stgeorgesns.com,primary
15318P,GLENBEG N S,Glenbeg,Dungarvan,Co. Waterford,NULL,Waterford,Waterford County Council,Catherine,Fitzgerald,X35P272,52.0702475,-7.6782771,5843266,office@glenbegnationalschool.ie,primary
15320C,ST MICHAELS NS,Sexton Street,Limerick,NULL,NULL,Limerick,Limerick City Council,Tracie,Tobin,V94HX23,52.6589813,-8.6227167,61317672,stmichaelsinfantschool@gmail.com,primary
15325M,CLONBULLOGUE N S,Clonbullogue,Co. Offaly,NULL,NULL,Offaly,Offaly County Council,Brigid,Bennett,R45DD79,53.2626479,-7.0862525,469730123,stpatricksnsclonbullogue@gmail.com,primary
15329U,BUN SCOIL LOUIS NAOFA,Cloughvalley,Carrickmacross,Co. Monaghan,NULL,Monaghan,Monaghan County Council,Maeve,Callen,A81DT82,53.977667,-6.7148328,429661808,bunscoilln@gmail.com,primary
15331H,S N BAILE NUA,Baile Nua,Maigh Cuilinn,Co. na Gaillimhe,NULL,Galway,Galway County Council,Aine,Ni Fhogartaigh,H91F6T7,53.3520418,-9.2265077,91555040,snbhailenua.ias@eircom.net,primary
15337T,S N MHUIRE,Castlegal,Cliffoney,Co. Sligo,NULL,Sligo,Sligo County Council,Martina,Naughton,F91DA00,54.4301796,-8.4541397,719166758,castlegalns@yahoo.ie,primary
15340I,CARIGEEN N S,Carrigeen,Co. Kilkenny,NULL,NULL,Kilkenny,Kilkenny County Council,Damien,Aylward,X91F656,52.2703638,-7.2155385,51895423,carrigeen.scoil@gmail.com,primary
15342M,S N NAOMH MHUIRE,Knockconor,Keash,Ballymote,Co. Sligo,Sligo,Sligo County Council,Therese,White,F56NT66,54.0482341,-8.4482228,719189166,keashns@gmail.com,primary
15346U,Scoil Abán Naofa,Baile Mhúirne,Maigh Chromtha,Co. Chorcaí,NULL,Cork,Cork County Council,Conchur,Ó Luasaigh,P12HW02,51.9375929,-9.1490655,2645407,scoilaban@gmail.com,primary
15350L,STONEHALL N S,Stonehall,Newmarket-on-Fergus,Co. Clare,NULL,Clare,Clare County Council,Diarmaid,McMahon,V95EY06,52.7252027,-8.9100871,61362863,stonehallschool@gmail.com,primary
15354T,CAMOLIN N S,Camolin,Enniscorthy,Co. Wexford,NULL,Wexford,Wexford County Council,Aoife,Morris,Y21F8H2,52.6152643,-6.4262436,539383455,camolinnationalschool@gmail.com,primary
15359G,SHILLELAGH NO 1 N S,Ballard,Shillelagh,Co. Wicklow,NULL,Wicklow,Wicklow County Council,Sonya,Burgess,Y14VH31,52.7547231,-6.5399277,539429141,shillelagh@eircom.net,primary
15362S,S N MICHIL NAOFA,Mullinahone,Thurles,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,James,Cahill,E41ED30,52.512722,-7.5036823,529153304,8888mull@gmail.com,primary
15367F,RIVERCHAPEL N S,Riverchapel,Gorey,Co. Wexford,NULL,Wexford,Wexford County Council,Martina,Prendergast,Y25DE28,52.6384674,-6.2348684,539425540,riverchapelns@eircom.net,primary
15370R,KILLALOE BOYS N S,Convent Hill,Killaloe,Co. Clare,NULL,Clare,Clare County Council,Kieran,Corcoran,V94D590,52.8044032,-8.4446307,61376407,killaloebns@live.ie,primary
15378K,ROCKFIELD N S,Coolney,Co. Sligo,NULL,NULL,Sligo,Sligo County Council,Marlene,Scanlon,F56FW32,54.1738093,-8.6008023,719130539,scoilchriostri@gmail.com,primary
15380U,DROMAGH MIXED N S,Dromagh,Mallow,Co. Cork,NULL,Cork,Cork County Council,James,McAuliffe,P51A037,52.1344259,-8.9504724,2956067,dromaghns@gmail.com,primary
15382B,DRUMLEASE N S,Drumlease,Dromahair,Co. Leitrim,NULL,Leitrim,Leitrim County Council,Marie,Brennan,F91T946,54.2255201,-8.2927581,719164586,drumleasens.ias@gmail.com,primary
15395K,MOUNT BOLUS N S,Mount Bolus,Tullamore,Co. Offaly,NULL,Offaly,Offaly County Council,Michelle,Balfe,R35VH39,53.1933154,-7.6257294,579354946,mountbolusns@gmail.com,primary
15407O,SN BAILE THOMAIS,Ballythomas,Gorey,Co. Wexford,NULL,Wexford,Wexford County Council,Katherine,Byrne,Y25W259,52.6760778,-6.2951133,539428343,ballythomasns@gmail.com,primary
15408Q,CONNOLLY N S,Connolly,Ennis,Co. Clare,NULL,Clare,Clare County Council,Sean,O'Neill,V95Y066,52.8474255,-8.9887384,656839550,connollynationalschool@gmail.com,primary
15410D,KILCROHANE N S,Kilcrohane,Bantry,Co. Cork,NULL,Cork,Cork County Council,Margaret,Mervyn Ellis,P75Y239,51.5809613,-9.7029974,2767285,kilcrohanens@gmail.com,primary
15413J,BRIDESWELL N S,Brideswell,Athlone,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Orla,Fogarty,N37P838,53.4528278,-8.0890766,906488272,brideswellns@gmail.com,primary
15419V,OULART N S,Oulart,Gorey,Co. Wexford,NULL,Wexford,Wexford County Council,Maria,Barron,Y25XK24,52.5028226,-6.3899756,539136177,oulartns2@gmail.com,primary
15420G,BALLYCANEW N S,Ballycanew,Gorey,Co. Wexford,NULL,Wexford,Wexford County Council,Seamus,Dempsey,Y25Y6W8,52.6103837,-6.3055556,539427496,ballycanewns@gmail.com,primary
15425Q,FAIRYMOUNT N S,Fairymount,Castlerea,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Catheriona,Golden,F45AK07,53.8466775,-8.4847923,949870655,fairymountns@gmail.com,primary
15431L,KILLAVILLE N S,Killavil,Ballymote,CO. Sligo,NULL,Sligo,Sligo County Council,Ms,SEANA HAUGHEY,F56HX72,54.0386376,-8.5535656,719182795,killavilns@gmail.com,primary
15446B,TRUMMERA N S,Tromaire,Maighean Rátha,Co. Laoise,NULL,Laois,Laois County Council,Áine,Mhic Aodha Bhuí,R32YY23,52.995014,-7.4675763,578756306,gaelscoilthromaire00@gmail.com,primary
15452T,KILDALLON N S,Kildallan,Ballyconnell,Co. Cavan,NULL,Cavan,Cavan County Council,Teresa,McCaffrey,H14Y902,54.0661185,-7.5500298,499526721,kildallanschool@gmail.com,primary
15456E,BALLYSHANNON N S,Ballyshannon,Kilcullen,Co. Kildare,NULL,Kildare,Kildare County Council,Lorraine,McGovern,R56FF60,53.0874694,-6.8147291,45485309,ballyshannonprimary@gmail.com,primary
15475I,KILCONLY N S,Kilconly,Tuam,Co. Galway,NULL,Galway,Galway County Council,Rebecca,Samuels,H54N529,53.5731309,-8.9777719,9347775,kilconns@gmail.com,primary
15483H,ST LOUIS N S,Rathkenny,Navan,Co. Meath,NULL,Meath,Meath County Council,Orla,O'Connor,C15PH60,38.6270025,-90.1994042,469054417,rathkennyschool@gmail.com,primary
15484J,GLOUNTHAUNE MIXED N.S.,Glounthane,Co. Cork,NULL,NULL,Cork,Cork County Council,Damien,Irwin,T45AX78,51.9139625,-8.3418162,214353645,principal@sncn.ie,primary
15496Q,LEAFFONEY N S,Leaffoney,Kilglass,Co. Sligo,NULL,Sligo,Sligo County Council,Shauna,Williamson,F26XD61,54.2564848,-9.0301057,9649291,leaffoneyns@gmail.com,primary
15502I,KILLINKERE N S,Corratinner,Virginia,Co. Cavan,NULL,Cavan,Cavan County Council,Mary,Brady,A82T959,53.8861844,-7.0688276,498547611,killinkerens@outlook.ie,primary
15512L,ST BRIGID'S PRIMARY SCHOOL,Station Road,Moate,Co. Westmeath,NULL,Westmeath,Westmeath County Council,Cathy,Gillivan,N37TF86,53.3979743,-7.7236847,906481740,stbrigidsmoate@gmail.com,primary
15516T,CLONPRIEST N S,Youghal,Co. Cork,NULL,NULL,Cork,Cork County Council,Anna,O'Neill,P36DY22,51.9295913,-7.922309,2493722,clonpriestns2020@gmail.com,primary
15523Q,S N NAOMH IOSEF,Convent Road,Kinvara,Co. Galway,NULL,Galway,Galway County Council,Dominic,Gallagher,H91X673,53.140007,-8.9441598,91638171,domgall@gmail.com,primary
15531P,"SCOIL MHUIRE,",Newtown,Ballinasloe,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Mary,Parker,H53V270,53.3586413,-8.2132763,909643043,newtownnatschool@eircom.net,primary
15532R,CROAGHROSS N S,Portsalon,Letterkenny,Co. Donegal,NULL,Donegal,Donegal County Council,Helen,Hayes Sweeney,F92VK38,55.2108913,-7.626658,749159112,portsalonns@hotmail.com,primary
15537E,S N BAILE FINN,Ballyfin,Portlaoise,Co. Laois,NULL,Laois,Laois County Council,Michael,Moloney,R32N920,53.0328123,-7.2987933,578755225,nsballyfin@gmail.com,primary
15539I,ST JOHNS NS,Logboy,Tulrahan,Claremorris,Co. Mayo,Mayo,Mayo County Council,Karen,Ronane,F12FH94,53.7125006,-8.790594,949646270,logboyschool.ias@eircom.net,primary
15540Q,BALLYDUFF B 2 N S,Ballyduff,Co. Waterford,NULL,NULL,Waterford,Waterford County Council,Mary,Sugrue,P51C673,52.1423368,-8.0511942,5860134,bailedubh@gmail.com,primary
15543W,TIBOHINE N S,Teevnacreeva,Tibohine,Castlerea,Co. Roscommon,Roscommon,Roscommon County Council,Mary,Mitchell,F45A892,53.8859388,-8.503709,949870729,tibohinens@gmail.com,primary
15545D,CASTLEPLUNKETT N S,Castleplunkett,Castlerea,Co Roscommon,NULL,Roscommon,Roscommon County Council,Deirdre,Hannon,F45YA40,53.7513523,-8.3471035,949651260,castleplunkettns1@gmail.com,primary
15550T,BALLYHEEDA N S,Ballinhassig,Co. Cork,NULL,NULL,Cork,Cork County Council,Áine,Corrigan,T12KT99,51.7927242,-8.5717234,214885066,admin@ballyheadans.ie,primary
15554E,GORTNACART N S,Gortnacart,Ardara,Co. Donegal,NULL,Donegal,Donegal County Council,Brid,Hennigan,F94HD54,54.7646499,-8.3660025,749541799,gortnacart1909@gmail.com,primary
15555G,SCOIL CHOLMCILLE,Breaffy,Ballina,Co. Mayo,NULL,Mayo,Mayo County Council,Vincent,Duffy,F26RW32,54.0855226,-9.1053149,9622271,principal@breaffyns.com,primary
15556I,PRESENTATION PRIMARY SCHOOL,Station Road,Portarlington,Co. Laois,NULL,Laois,Laois County Council,Cathal,Ruane,R32HF43,53.1532666,-7.1816175,578623007,info@presprimary.ie,primary
15557K,CLOONFAD N S,Cloonfad,Ballyhaunis,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Patrick,Sheridan,F35W407,53.6867556,-8.7518199,949646259,cloonfadns@eircom.net,primary
15560W,BISHOP HARTY NS,Ballinree,Nenagh,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Tamara,Hogan,E45HF74,52.8683371,-8.0946265,6729155,bishophartyns@gmail.com,primary
15562D,CLOCH AN TSIONNAIGH N S,Foxrock,Ballacolla,Abbeyleix,Co. Laois,Laois,Laois County Council,Olga,Hyland,R32XH26,52.9134712,-7.34903,578738546,cloughns@gmail.com,primary
15563F,LISHEEN MIXED N S,Lisheen,Church Cross,Skibbereen,Co. Cork,Cork,Cork County Council,Catriona,O'Driscoll,P81HX88,51.5322978,-9.3761274,2838481,lisheen15563@gmail.com,primary
15569R,SCOIL MOIBHI,Milverton,Skerries,Co. Dublin,NULL,Dublin,Fingal County Council,Maria,Lynam,K34WP77,53.5781665,-6.1063279,18492467,scoilmoibhi.ias@eircom.net,primary
15571E,KILGLASS N S,Ballyglass,Enniscrone,Co. Sligo,NULL,Sligo,Sligo County Council,Jarlath,Brennan,F26E682,54.2282987,-9.0291407,9636688,kilglassns@gmail.com,primary
15584N,GRANGE N S,Boyle,Co. Roscommon,NULL,NULL,Roscommon,Roscommon County Council,Mary,Brett,F52CX43,53.936142,-8.3151145,719663424,grangensboyle@gmail.com,primary
15592M,SN CEANN TRA MEASCAITHE,Ceann Trá,Trá Lí,Co. Chiarraí,NULL,Kerry,Kerry County Council,Mary,Devane,V92YK09,52.1333113,-10.3617104,669159868,scoilcheanntra@gmail.com,primary
15594Q,GRANGE FERMOY N S,Grange,Fermoy,Co. Cork,NULL,Cork,Cork County Council,Catherine,Reidy,P61K240,52.1511194,-8.3068731,2532799,gnschoolfermoy@gmail.com,primary
15597W,MACROOM BOYS SENIOR NATIONAL SCHOOL,Sleaveen East,Macroom,Co. Cork,NULL,Cork,Cork County Council,Martin,Clancy,P12RV06,51.9027705,-8.9540219,2642705,mcrmbns@iol.ie,primary
15614T,TAUGHMACONNELL N S,Taughmaconnell,Ballinasloe,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Tríona,McLoughlin,H53DX66,53.3940037,-8.1720671,894497540,taughmaconnellns@gmail.com,primary
15618E,SANDFORD PARISH NATIONAL SCHOOL,Sandford Close,Ranelagh,Dublin 6,NULL,Dublin,Dublin City Council,Senan,Murray,D06V2V6,53.3219447,-6.247912,14974277,secretary@sandfordparishns.ie,primary
15622S,ST PATRICKS NS,Chapelizod Village,Dublin 20,NULL,NULL,Dublin,Dublin City Council,Kieran,Tierney,D20TW71,53.3484985,-6.3433938,16265752,chapelizodstpatricks@gmail.com,primary
15625B,ST CATHERINES WEST N S,Donore Avenue,South Circular Road,Dublin 8,NULL,Dublin,Dublin City Council,Karen,Jordan,D08YR66,53.3332165,-6.2830807,14542679,info@stcatherinesns.net,primary
15627F,ST MURAS N S,Burnfoot,Lifford,Co. Donegal,NULL,Donegal,Donegal County Council,Rory,Reynolds,F93TW54,55.0655588,-7.4337064,749360325,saintmuras@gmail.com,primary
15628H,ST JOSEPHS B N S,Abbeytown,Boyle,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Jerry,Clifford,F52X089,53.3096938,-6.2820242,719662392,sjbsboyle@gmail.com,primary
15638K,EDENDERRY 2 N S,EDENDERRY,CO OFFALY,NULL,NULL,Offaly,Offaly County Council,Yvonne,Payne,R45HD23,53.3409075,-7.0714159,469732231,info@monasterorisns.com,primary
15644F,TIERNABOUL N S,KILLARNEY,CO KERRY,NULL,NULL,Kerry,Kerry County Council,Conor,Gleeson,V93D362,52.0741884,-9.443654,646634767,tiernaboul1ns@gmail.com,primary
15646J,COOMHOLA N S,Cooryleary,Bantry,Co. Cork,NULL,Cork,Cork County Council,Sophie,O'Shea,P75W984,51.7430132,-9.4488453,2751173,principal@coomholans.ie,primary
15650A,CORDUFF N S,Lusk,Co. Dublin,NULL,NULL,Dublin,Fingal County Council,Carola,Reynolds,K45XV34,53.5167359,-6.1906836,18438274,office@corduffns.scoilnet.ie,primary
15654I,KNOCKCONNON N S,Knockconan,Emyvale,Co. Monaghan,NULL,Monaghan,Monaghan County Council,Emer,Brennan,H18DY07,54.367902,-6.9650269,4787244,knockconanns5@eircom.net,primary
15656M,BALLYKILMURRY N S,Ballinamere,Tullamore,Co. Offaly,NULL,Offaly,Offaly County Council,Deirdre,Cusack,R35AW83,53.287595,-7.562434,579341687,ballinamerens@gmail.com,primary
15664L,GRANLAHAN G N S,Granlahan,Ballinlough,Co. Roscommon,NULL,Roscommon,Roscommon County Council,William,Phillips,F45FN12,53.7418858,-8.6335579,949640366,granlahan_ns@yahoo.ie,primary
15676S,PADRAIG NAOFA N S,St Patricks Road,Wicklow,NULL,NULL,Wicklow,Wicklow County Council,Lorraine,Dempsey,A67HP90,52.9791029,-6.0470416,40467415,stpatswicklow@gmail.com,primary
15680J,SCOIL AN SPIORAID NAOMH,Roxborough,Ballysheedy,Co. Limerick,NULL,Limerick,Limerick County Council,Donat,Leahy,V94WA29,52.608145,-8.6249682,61228041,donatleahy@eircom.net,primary
15685T,ATHEA N SCHOOL,Athea,Co. Limerick,NULL,NULL,Limerick,Limerick County Council,Margaret,Flaherty,V94F226,52.4607444,-9.285454,6842333,atheans.ias@eircom.net,primary
15692Q,BILBOA N SCHOOL,Bilaboa,Cappaghmore,Co. Limerick,NULL,Limerick,Limerick County Council,Ciaran,Sheehan,V94KN61,52.6344522,-8.2909257,61381652,info@bilboans.ie,primary
15696B,SILVERMINES N S,Silvermines,Nenagh,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,James,Hayden,E45T658,52.7918519,-8.2385927,6725444,silverminesns@gmail.com,primary
15700M,CLOVERFIELD N S,Cloverfield,Dromchaoin,Co. Limerick,NULL,Limerick,Limerick County Council,Noreen,O'Dea,V94DW42,52.5568918,-8.4059223,61384566,cloverfieldns2013@gmail.com,primary
15701O,BARTLEMY N S,RATHCORMAC,FERMOY,CO CORK,NULL,Cork,Cork County Council,Joanne,O'Brien Kennelly,P61P761,52.0472686,-8.264921,2536121,bobrienns@gmail.com,primary
15718I,S N SEOSAMH COBH,Cobh,Co. Cork,NULL,NULL,Cork,Cork County Council,Richard,Kenneally,P24P270,51.8543594,-8.2922231,214812424,scoiliosaefias@gmail.com,primary
15729N,RATHMULLEN N S,RATHMULLEN,CO DONEGAL,NULL,NULL,Donegal,Donegal County Council,Mrs,Alma Curran,F92VA89,55.0970707,-7.5363061,749158388,stjosephsrathmullan123@gmail.com,primary
15763N,MOVILLE N S,Greencastle Road,Moville,Co. Donegal,NULL,Donegal,Donegal County Council,Helena,Walker,F93PF77,55.1890182,-7.0400533,749382851,stcolumbns@yahoo.co.uk,primary
15769C,MONASTEREVAN CONVENT,Drogheda Street,Monasterevin,Co. Kildare,NULL,Kildare,Kildare County Council,Declan,Costello,W34P308,53.1402882,-7.0613585,45525561,saintevin@gmail.com,primary
15770K,S N NAOMH NAILLE,Na Caologa,Inbhear,Co. Dhún na nGall,NULL,Donegal,Donegal County Council,Rory,O'Donnell,F94RW28,999,999,749736416,stnaulsnskeelogs@gmail.com,primary
15778D,ST MARYS N S,Church Road,Nenagh,Co. Tipperary,NULL,Tipperary,Tipperary (Nr) County Council,Shirley,Wallace,E45KT22,52.8673887,-8.1988301,6732566,stmarys2.ns@gmail.com,primary
15781P,BALLINTEMPLE N S,BALLINTEMPLE N S,CRAB LANE,CORK,NULL,Cork,Cork City Council,Bryan,McCarthy,T12WA02,51.8930697,-8.43961,214293608,oifig@ballintemplens.com,primary
15792U,UPPER GLANMIRE N S,Ballinvriskig,White's Cross,Co. Cork,NULL,Cork,Cork County Council,Patrick,O'Connell,T23AE00,51.9511112,-8.4307154,214308885,ugns.principal@gmail.com,primary
15795D,ST MARYS N S,CHURCH STREET,TEMPLEMORE,NULL,NULL,Tipperary,Tipperary (Nr) County Council,OLWEN,ROE,E41F596,52.7995058,-7.8298284,50432269,stmarynstemplemore@yahoo.ie,primary
15796F,S N COR AN DROMA,CLAREGALWAY,CO. GALWAY,NULL,NULL,Galway,Galway County Council,Hilary,Hussey,H91AD85,53.4104346,-8.9099312,91791715,corrandrum@gmail.com,primary
15816I,ST VINCENTS INF BOYS,North William Street,Dublin 1,NULL,NULL,Dublin,Dublin City Council,Patrick,Courtney,D01VW63,53.357108,-6.247397,18363074,stvincentsbns@gmail.com,primary
15835M,ST BRENDANS N S,Mount Pleasant,Loughrea,Co. Galway,NULL,Galway,Galway County Council,Annette,Regan,H62YW57,53.1950198,-8.5608825,91841217,office@stbrendansbns.com,primary
15847T,S N LEITIR MHIC AN BHAIRD,Leitir Mhic a' Bhaird,Lettermacaward,Co. Dhún na nGall,NULL,Donegal,Donegal County Council,Séamus,McBride,F94R962,54.8475978,-8.3152964,749544238,seamusmcbride@me.com,primary
15866A,CARRAKENNEDY N S,Liscarney,Westport,Co. Mayo,NULL,Mayo,Mayo County Council,Aideen,McPaul,F28RF74,53.7047187,-9.5655382,9821442,admin@carrakennedyns.com,primary
15870O,SCOIL CHONNLA PHADRAIG,Chapel Lane,Newbridge,Co. Kildare,NULL,Kildare,Kildare County Council,John,O'Donovan,W12Y198,53.182032,-6.7907246,45432174,info@patricianprimary.ie,primary
15878H,DERRYQUAY MXD N S,Derrymore,Tralee,NULL,NULL,Kerry,Kerry County Council,Íde,Brosnan,V92EK49,52.2394194,-9.8227867,667130269,info@derryquayns.ie,primary
15895H,DRUMCONDRA N S,Church Avenue,Drumcondra,Dublin 9,NULL,Dublin,Dublin City Council,Kate,Gleeson,D09VY58,53.3692974,-6.2494655,18374886,office@drumcondrans.ie,primary
15900U,THE GLEBE N.S.,AUGHRIM,BALLINASLOE,CO GALWAY,NULL,Galway,Galway County Council,LISA,MC KEIGUE,H53P959,53.3037738,-8.315003,909673650,lmckeigue@hotmail.com,primary
15903D,KILLAVULLEN N S,Killavullen,Mallow,Co. Cork,NULL,Cork,Cork County Council,Damien,Fallon,P51AP92,52.1465049,-8.5166811,2226368,killavullenns@gmail.com,primary
15923J,CLONEYHURKE N S,Cloneyhurke,Portarlington,Co. Offaly,NULL,Offaly,Offaly County Council,Sarah,Moore,R32FT51,53.1632,-7.2733,578623271,cloneyhurkens@gmail.com,primary
15933M,CAMROSS N S,CAMROSS,PORTLAOISE,CO LAOISE,NULL,Laois,Laois County Council,Talitha,Horan,R32YEF6,53.0046442,-7.5918418,578735230,camrossns@eircom.net,primary
15937U,MONASEED N S,Monaseed,Gorey,Co. Wexford,NULL,Wexford,Wexford County Council,Seamus,O'Brien,Y25RF40,52.7153554,-6.4028275,539428330,monaseedns@gmail.com,primary
15940J,TOMBRACK N S,Tombrack,Ferns,Co. Wexford,NULL,Wexford,Wexford County Council,Bobby,Kenny,Y21HV12,52.600363,-6.5510847,539366738,tombrackns@gmail.com,primary
15945T,FIRIES MXD N S,Church Road,Firies Village,Killarney,Co. Kerry,Kerry,Kerry County Council,Claire,Doyle,V93D932,52.170803,-9.5937842,669764496,info@firiesnationalschool.ie,primary
15955W,SN ARAINN MHOR I,Arainn Mór,Co. Dhún na nGall,NULL,NULL,Donegal,Donegal County Council,Michelle,Coll,F92Y978,54.9874345,-8.5350585,749520116,arranmorens1@hotmail.com,primary
15957D,RATHANGAN B N S,Rathangan,Co. Kildare,NULL,NULL,Kildare,Kildare County Council,John,Begley,R51VP23,53.2214115,-7.0023777,45528496,rathanganbns@gmail.com,primary
15958F,ST. JOSEPHS N.S.,WOODFORD,LOUGHREA,COUNTY GALWAY,NULL,Galway,Galway County Council,BRID,BN UÍ MHAINNIN,H62Y540,53.048244,-8.3934801,909749525,coill.ias@eircom.net,primary
15960P,GORTLETTERAGH CENTRAL,FORNOCHT,CARA DROMA RUISC,CO LEITRIM,NULL,Leitrim,Leitrim County Council,Gráinne,Monaghan.,N41NY29,53.8818034,-7.8171297,719631926,gortletteraghs@gmail.com,primary
15962T,BALLINDAGGIN N S,Ballindaggin,Enniscorthy,Co. Wexford,NULL,Wexford,Wexford County Council,Conor,McDonald,Y21A371,52.5681136,-6.6781047,539388728,stcolmansnsballindaggin@gmail.com,primary
15963V,RATHGORMACK B N S,Carrick-on-Suir,Co. Waterford,NULL,NULL,Waterford,Waterford County Council,Catherine,Power,E32PC85,52.3053613,-7.4959863,51646377,info@rathgormackns.com,primary
15967G,CRIMLIN N S,Crimlin,Ross,Castlebar,NULL,Mayo,Mayo County Council,CHRISTINE,GORDON,F23V008,53.9205497,-9.2570493,949025432,crimlinschool@gmail.com,primary
15970S,BALLYTARSNA N S,Ballytarsna,Cashel,Co. Tipperary,NULL,Tipperary,Tipperary (Sr) County Council,Siobhán,McGrath,E25RW52,52.585169,-7.8308807,50441323,littleflowerns@gmail.com,primary
15978L,CURRAHEEN MXD N S,GLENBEIGH,CO KERRY,NULL,NULL,Kerry,Kerry County Council,Mike,O'Toole,V93XD43,52.0572874,-9.9214112,669768033,curraheen1ns@gmail.com,primary
15980V,CAMCLOON N S,Ballydangan,Athlone,Co. Roscommon,NULL,Roscommon,Roscommon County Council,Bernie,Keane,N37YN56,53.3510748,-8.0611649,909673437,camcloonns@gmail.com,primary
