,Roll Number,Official School Name,Address 1,Address 2,Address 3,Address 4,County,Local Authority,Eircode,Principal Name,Email,Phone,DEIS (Y/N),Gaeltacht Area Location (Y/N),Island Location (Y/N),Fee Paying School (Y/N),Pupil Attendance Type,School Gender - Post Primary,Irish Classification - Post Primary,Post Primary School Type,Ethos/Religion,FEMALE,MALE,TOTAL (2019-20),School,Unnamed: 0,FullAddress,Latitude,Longitude
156,62010C,St. Joseph's Secondary School,Spanish Point,Miltown Malbay,Co Clare,,Clare,Clare County Council,V95NW01,MR. PAUL REIDY,admin@stjosephsspanishpoint.com,0657084311,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,151.0,168.0,319,"St. Joseph's Secondary School, Spanish Point, Miltown Malbay",156,"Breaffy South, Spanish Point, Co. Clare, Ireland",52.8466428,-9.4397015
157,62020F,St. Joseph's Secondary School,Tulla,Ennis,Co. Clare,,Clare,Clare County Council,V95TY26,MS. JULIET COMAN,admin@sjt.ie,0656835113,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,302.0,293.0,595,"St. Joseph's Secondary School, Tulla, Ennis",157,"Tulla, Co. Clare, Ireland",52.863721,-8.761016
158,62050O,Árdscoil Uí Urmoltaigh,Bandon,Co Cork,,,Cork,Cork County Council,P72C983,MR. EUGENE O BRIEN,office@hamiltonhighschool.ie,0238844227,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,397.0,397,"Árdscoil Uí Urmoltaigh, Bandon, Co Cork",158,"Allen Square, Coolfadda, Bandon, Co. Cork, Ireland",51.746973,-8.7442525
159,62060R,Bandon Grammar School,Bandon,Co Cork,,,Cork,Cork County Council,P72FD36,MR. IAN COOMBES,office@bgsmail.ie,0238841713,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,330.0,345.0,675,"Bandon Grammar School, Bandon, Co Cork",159,"Clancool More, Bandon, Co. Cork, Ireland",51.7337153,-8.7480502
160,62061T,Coláiste Na Toirbhirte,Árd Aoibhinn,Bandon,Co Cork,,Cork,Cork County Council,P72FW28,MS. MARY C O'DONOVAN,office@presbandon.ie,0238841814,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,494.0,,494,"Coláiste Na Toirbhirte, Árd Aoibhinn, Bandon",160,"Ard Aoibhinn, Bandon, Co. Cork, P72 FW28, Ireland",51.740204,-8.731043
161,62090D,Scoil Mhuire gan Smal,Blarney,Co Cork,,,Cork,Cork County Council,T23WP23,MR. PADRAIG SHEEHAN,info@smgsblarney.ie,0214385331,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,410.0,393.0,803,"Scoil Mhuire gan Smal, Blarney, Co Cork",161,"Blarney, Shean Lower, Blarney, Co. Cork, Ireland",51.9325413,-8.5598213
162,62130M,Coláiste An Chroí Naofa,Carraig na bhFear,Co Chorcaí,,,Cork,Cork County Council,T34RX93,MR. COLM MICHEAL O'CORCORA,info@ccn.ie,0214884104,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,251.0,290.0,541,"Coláiste An Chroí Naofa, Carraig na bhFear, Co Chorcaí",162,"College Rd, Carrignavar, Co. Cork, Ireland",51.98478309999999,-8.4699168
163,62140P,St Aloysius College,Main Street,Carrigtwohill,Co.Cork,,Cork,Cork County Council,T45CF61,MR. SEAN FRANCIS TWOMEY,admin@saintals.ie,0214883341,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,776.0,,776,"St Aloysius College, Main Street, Carrigtwohill",163,"Carrigtohill, Co. Cork, Ireland",51.9100172,-8.2593248
164,62170B,Sacred Heart Secondary School,Convent of Mercy,Clonakilty,Co. Cork,,Cork,Cork County Council,P85K651,MISS ANN M BROSNAN,admin@sacredheartclonakilty.ie,0238833737,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,529.0,,529,"Sacred Heart Secondary School, Convent of Mercy, Clonakilty",164,"10 Convent Ct, Scartagh, Clonakilty, Co. Cork, P85 KW28 Convent Ct, Scartagh, Clonakilty, Co. Cork, P85 KW28, Ireland",51.6269542,-8.8799914
165,62180E,Coláiste Muire,Bishop's Street,Cobh,Co Cork,,Cork,Cork County Council,P24EW42,MR. FERGUS O'BRIEN,info@colaistemuire.com,0214813800,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,319.0,347.0,666,"Coláiste Muire, Bishop's Street, Cobh",165,"Bishop St, Kilgarvan, Cobh, Co. Cork, Ireland",51.8547853,-8.2937925
166,62200H,Colaiste Muire,Crosshaven,Co. Cork,,,Cork,Cork County Council,P43HC98,MS. ANN DOHERTY,colmuire@gmail.com,0214831604,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,244.0,208.0,452,"Colaiste Muire, Crosshaven, Co. Cork",166,"Coláiste Muire, Crosshaven, Co. Cork, Ireland",51.801271,-8.2981646
167,62210K,Nagle Rice Secondary School,Doneraile,Co. Cork,,,Cork,Cork County Council,P51NH96,MS. BRID LYSAGHT,principal@nrss.ie,02224500,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,85.0,102.0,187,"Nagle Rice Secondary School, Doneraile, Co. Cork",167,"Doneraile, Horseclose, Doneraile, Co. Cork, Ireland",52.2215313,-8.5838574
168,62260C,Coláiste Cholmáin,Fermoy,Co. Cork,,,Cork,Cork County Council,P61A563,MRS. VERONICA MARTHA O'DONOGHUE,office@stcolmanscollege.com,02531930,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,514.0,514,"Coláiste Cholmáin, Fermoy, Co. Cork",168,"Fermoy, Co. Cork, Ireland",52.1372158,-8.2790351
169,62270F,Loreto Secondary School,Fermoy,Co Cork,,,Cork,Cork County Council,P61HA21,MS. ORLA FORDE,principal@loretofermoy.ie,02532124,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,616.0,,616,"Loreto Secondary School, Fermoy, Co Cork",169,"College Rd, Fermoy, Co. Cork, Ireland",52.135928,-8.2773
170,62290L,Scoil Mhuire,Kanturk,Co Cork,,,Cork,Cork County Council,P51XK81,MS. MIRIAM DOWNEY,mercyedkanturk@eircom.net,02950807,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,158.0,132.0,290,"Scoil Mhuire, Kanturk, Co Cork",170,"Greenfield Rd, Kanturk, Co. Cork, Ireland",52.178266,-8.9116213
171,62301N,Colaiste An Phiarsaigh,Gleann Maghair,Corcaigh,,,Cork,Cork County Council,T45HC86,MR. MICHAEL O'TUAMA,oifig@colanphiarsaigh.ie,0214821955,N,N,N,N,Mixed,Mixed,All pupils taught all subjects through Irish,Secondary,CATHOLIC,278.0,265.0,543,"Colaiste An Phiarsaigh, Gleann Maghair, Corcaigh",171,"Poulacurry South, Glanmire, Co. Cork, Ireland",51.9180756,-8.398856
172,62310O,De La Salle College,Macroom,Co Cork,,,Cork,Cork County Council,P12X409,MR. JOHN PIUS MURPHY,office@dlsmacroom.ie,02641832,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,2.0,365.0,367,"De La Salle College, Macroom, Co Cork",172,"Barrack Ln, Maghereen, Co. Cork, Ireland",51.9064068,-8.9643844
173,62320R,St Mary'S Secondary School,St. Marys Secondary School,Macroom,Co. Cork,,Cork,Cork County Council,P12RH67,MR. CIARAN COOKE,principal@stmarysmacroom.ie,02641544,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,323.0,,323,"St Mary'S Secondary School, St. Marys Secondary School, Macroom",173,"New Road, Macroom, Co. Cork, Ireland",51.9036256,-8.9579788
174,62330U,Patrician Academy,Mallow,Co Cork,,,Cork,Cork County Council,P51YK80,MS. ELAINE O'REGAN,principal@patricianacademy.com,02221884,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,565.0,565,"Patrician Academy, Mallow, Co Cork",174,"The Bowling Green, White St, Mallow Road, Mallow, Co. Cork, Ireland",52.1388367,-8.6449705
175,62350D,St Mary's Secondary School,Bathview,Mallow,Co Cork,,Cork,Cork County Council,P51PY04,MS. YVONNE BANE,info@stmarysmallow.com,02221998,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,707.0,,707,"St Mary's Secondary School, Bathview, Mallow",175,"Mallow, Co. Cork, Ireland",52.14140399999999,-8.641123
176,62360G,Christian Brothers Secondary School,Castleredmond,Midleton,Co Cork,,Cork,Cork County Council,P25C951,MR. MAURICE KEOHANE,office@midletoncbs.ie,0214631555,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,844.0,844,"Christian Brothers Secondary School, Castleredmond, Midleton",176,"Castleredmond, Midleton, Co. Cork, P25 C951, Ireland",51.90720049999999,-8.1703219
177,62370J,Midleton College,Connolly Street,Midleton,Co.Cork,,Cork,Cork County Council,P25F898,MR. EDWARD GASH,info@midletoncollege.ie,0214631146,N,N,N,Y,Mixed,Mixed,No subjects taught through Irish,Secondary,CHURCH OF IRELAND,206.0,227.0,433,"Midleton College, Connolly Street, Midleton",177,"Connolly St, Midleton, Co. Cork, Ireland",51.9148487,-8.171150899999999
178,62380M,St Mary's High School,"Castleredmond,","Midleton,",Co. Cork.,,Cork,Cork County Council,P25XC57,UAS. DONNACHA O'BRIAIN,info@stmarysmidleton.com,021-4631973,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,718.0,,718,"St Mary's High School, Castleredmond,, Midleton,",178,"Castleredmond, Midleton, Co. Cork, Ireland",51.9084043,-8.1692552
179,62420V,Christian Brothers Secondary School,Mitchelstown,Co Cork,,,Cork,Cork County Council,P67XF64,MS. MARY HANNON,info@cbsmitchelstown.ie,02524104,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,322.0,322,"Christian Brothers Secondary School, Mitchelstown, Co Cork",179,"Mitchelstown, Ballinwillin, Mitchelstown, Co. Cork, Ireland",52.2662127,-8.2698863
180,62421A,Presentation Secondary School,Brigown,Mitchelstown,,,Cork,Cork County Council,P67RC65,MS. LORRAINE O'KEEFFE,office@presmitchelstown.ie,025-24394,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,315.0,,315,"Presentation Secondary School, Brigown, Mitchelstown",180,"Presentation Secondary School, Church Rd, Brigown, Mitchelstown, Co. Cork, Ireland",52.2654128,-8.2653065
181,62440E,Scoil na mBráithre Chríostaí,Bakers Road,Charleville,Co Cork,,Cork,Cork County Council,P56RX94,MS. UNA GRIFFIN,charlevillecbs@gmail.com,06381789,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,281.0,281,"Scoil na mBráithre Chríostaí, Bakers Road, Charleville",181,"Bakers Rd, Ballysallagh, Charleville, Co. Cork, Ireland",52.3537589,-8.678899699999999
182,62450H,St. Mary's Secondary School,Smiths Road,Charleville,Co Cork,,Cork,Cork County Council,P56C672,MRS. GILLIAN O'CALLAGHAN,admin@stmaryscharleville.org,06381877,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,292.0,,292,"St. Mary's Secondary School, Smiths Road, Charleville",182,"St Mary's Secondary School, Rathgoggan Middle, Co. Cork, Ireland",52.3543921,-8.6866722
183,62460K,St Francis Capuchin College,Rochestown,Co Cork,,,Cork,Cork County Council,T12TK82,MRS. MARIE RING,info@stfranciscollege.ie,0214891417,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,768.0,768,"St Francis Capuchin College, Rochestown, Co Cork",183,.,.,.
184,62470N,Mount St Michael,Rosscarbery,Co Cork,,,Cork,Cork County Council,P85DY26,MR. BART KERRISK,info@mtsm.ie,0238848114,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,144.0,166.0,310,"Mount St Michael, Rosscarbery, Co Cork",184,"Mount Saint Michael's Secondary School, Ardagh East, Rosscarbery, Co. Cork, Ireland",51.583032,-9.0257308
185,62520C,Christian Brothers College,Sidney Hill,Wellington Road,Cork.,,Cork,Cork City Council,T23FY09,MR. DAVID LORDON,enquire@cbccork.ie,0214501653,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,911.0,911,"Christian Brothers College, Sidney Hill, Wellington Road",185,"10a Wellington Rd, Cork, Ireland",51.90363749999999,-8.4681664
186,62530F,North Monastery Secondary School,Our Lady's Mount,North Monastery Rd.,Cork,,Cork,Cork City Council,T23P825,MRS. GRACE O'SULLIVAN,info@northmonastery.ie,0214301318,Y,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,346.0,346,"North Monastery Secondary School, Our Lady's Mount, North Monastery Rd.",186,"North Monastery Road, Cork, T23 P825, Ireland",51.9082336,-8.4800141
187,62531H,Gaelcholáiste Mhuire,An Mhainistir Thuaidh,Corcaigh,,,Cork,Cork City Council,T23WN77,MR. DONAL O'BUACHALLA,info@gcm.ie,0214307579,Y,N,N,N,Day,Mixed,All pupils taught all subjects through Irish,Secondary,CATHOLIC,250.0,326.0,576,"Gaelcholáiste Mhuire, An Mhainistir Thuaidh, Corcaigh",187,"Cork City, Cork, Ireland",51.9092254,-8.480668
188,62540I,Coláiste Éamann Rís,St Patrick's Road,Cork,,,Cork,Cork City Council,T12XT96,MR. KEVIN BARRY,info@cercork.ie,0214962025,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,12.0,314.0,326,"Coláiste Éamann Rís, St Patrick's Road, Cork",188,"Deerpark CBS, St Patrick's Rd, Ballyphehane, Cork, T12 K83R, Ireland",51.8898683,-8.4738335
189,62560O,Coláiste Chríost Rí,"Capwell Road,","Turners Cross,",Cork.,,Cork,Cork City Council,T12YF83,MR. PATRICK G MCAREE,info@ccrcork.com,0214274904,N,N,N,N,Day,Boys,Some pupils taught some subjects through Irish,Secondary,CATHOLIC,,575.0,575,"Coláiste Chríost Rí, Capwell Road,, Turners Cross,",189,"Capwell Rd, Turners Cross, Cork, Ireland",51.88958470000001,-8.4646216
190,62570R,Presentation Brothers College,The Mardyke,Cork,,,Cork,Cork City Council,T12VK49,MR. DAVID BARRY,info@pbc-cork.ie,0214272743,N,N,N,Y,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,713.0,713,"Presentation Brothers College, The Mardyke, Cork",190,"Mardyke Walk, Mardyke, Cork, Ireland",51.8975894,-8.4850617
191,62580U,Coláiste An Spioraid Naoimh,Bishopstown,Cork,,,Cork,Cork City Council,T12C938,MISS BRENDA BRIDGET MARY DUNNE,csnoffice@csncork.ie,0214543790,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,710.0,710,"Coláiste An Spioraid Naoimh, Bishopstown, Cork",191,"Bishopstown, Cork, Co. Cork, Ireland",51.8829286,-8.517108
192,62590A,St Vincent's Secondary School,St Mary's Road,Cork,,,Cork,Cork City Council,T23NH01,MR. JAMES DEANE,info@stvincentscork.com,0214307730,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,203.0,,203,"St Vincent's Secondary School, St Mary's Road, Cork",192,"St Mary's Rd, Cork, Ireland",51.9065755,-8.478372199999999
193,62621I,North Presentation Secondary School,Farranree,Cork,,,Cork,Cork City Council,T23WD99,MR. JEREMIAH CROWLEY,info@northpres.ie,0214303330,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,197.0,,197,"North Presentation Secondary School, Farranree, Cork",193,"Knockpogue Ave, Farranree, Cork, Ireland",51.9119485,-8.485547799999999
194,62630J,St Aloysius School,Sharman Crawford Street,Cork,,,Cork,Cork City Council,T12RK03,MS. ALEXANDRIA SAVAGE,office@stalscork.com,0214316017,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,309.0,,309,"St Aloysius School, Sharman Crawford Street, Cork",194,"9 Sharman Crawford St, The Lough, Cork, Co. Cork, T12 RK03, Ireland",51.8957282,-8.4818746
195,62640M,St. Angela's College,St. Patrick's Hill,Cork,,Cork,Cork,Cork City Council,T23FXY8,MR. PATRICK CURRAN,sac.cork@gmail.com,0214500059,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,582.0,,582,"St. Angela's College, St. Patrick's Hill, Cork",195,"St Patrick's Hill, Cork, T23 FXY8, Ireland",51.9028905,-8.4701155
196,62650P,Ursuline Secondary School,Blackrock,Cork,,,Cork,Cork City Council,T12HR04,MR. PATRICK MCBETH,ursulineschool@gmail.com,0214358012,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,243.0,,243,"Ursuline Secondary School, Blackrock, Cork",196,"Blackrock, Cork, Ireland",51.8955772,-8.415755899999999
197,62661U,Mount Mercy College,Model Farm Road,Cork,,,Cork,Cork City Council,T12AD60,MS. PATRICIA RYAN,admin@mountmercy.ie,0214542366,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,796.0,,796,"Mount Mercy College, Model Farm Road, Cork",197,"Model Farm Rd, Cork, Ireland",51.8900721,-8.5169905
198,62690E,Scoil Mhuire,1-3 Sidney Place,Wellington Road,Cork,,Cork,Cork City Council,T23PF76,MRS. REGINA BUTLER,info@scoilmhuirecork.ie,0214501844,N,N,N,Y,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,425.0,,425,"Scoil Mhuire, 1-3 Sidney Place, Wellington Road",198,"2 Sidney Pl, Wellington Rd, Victorian Quarter, Cork, Ireland",51.9022221,-8.4679331
199,62691G,Regina Mundi College,Douglas Road,Cork,,,Cork,Cork City Council,T12HN93,MS. YVONNE LUCEY,info@reginamundicork.ie,0214291681,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,566.0,,566,"Regina Mundi College, Douglas Road, Cork",199,"Ballinlough, Cork, Ireland",51.8835043,-8.4437439
200,62692I,Christ King Girls' Secondary School,Half Moon Lane,South Douglas Road,Cork,,Cork,Cork City Council,T12R22C,MS. RICHEL LONG,admin@christkingschool.com,0214961448,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,776.0,,776,"Christ King Girls' Secondary School, Half Moon Lane, South Douglas Road",200,"Half Moon Ln, South Douglas Road, Cork, Co. Cork, T12 R22C, Ireland",51.8845041,-8.462411099999999
201,62693K,Presentation Secondary School,Joe Murphy Road,Ballyphehane,Cork,,Cork,Cork City Council,T12YH04,MS. NICOLA O CALLAGHAN,admin@presballyphehane.com,0214961765,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,233.0,,233,"Presentation Secondary School, Joe Murphy Road, Ballyphehane",201,"Joe Murphy Rd, Ballyphehane, Cork, Ireland",51.88384380000001,-8.4784426
202,62730N,St Patricks College,Gardiner's Hill,Cork,,,Cork,Cork City Council,T23HX04,MR. BRIAN CRONIN,office@stpatrickscork.org,0214503055,Y,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,253.0,,253,"St Patricks College, Gardiner's Hill, Cork",202,"Gardiner's Hill, Montenotte, Cork, Ireland",51.9083252,-8.454953300000001
203,62770C,Scoil Mhuire Secondary School,St. Oran's Road,Buncrana,Co. Donegal,,Donegal,Donegal County Council,F93PN53,MISS ROSALEEN GRANT,info@scoilmhuirebuncrana.ie,0749361065,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,381.0,363.0,744,"Scoil Mhuire Secondary School, St. Oran's Road, Buncrana",203,"Ardaravan, Buncrana, Co. Donegal, Ireland",55.13121899999999,-7.4582273
204,62830R,St Eunan's College,Letterkenny,Co Donegal,,,Donegal,Donegal County Council,F92RR71,MR. DAMIEN JAMES MC CROARY,info@sainteunans.com,0749121143,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,872.0,872,"St Eunan's College, Letterkenny, Co Donegal",204,"Letterkenny, Co. Donegal, Ireland",54.9517496,-7.7455758
205,62840U,Loreto Secondary School,Letterkenny,Co Donegal,,,Donegal,Donegal County Council,F92X981,SR. GERALDINE MULLEN,info@loretoletterkenny.ie,0749121850,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,920.0,,920,"Loreto Secondary School, Letterkenny, Co Donegal",205,"Church Ln, Letterkenny, Co. Donegal, Ireland",54.94968919999999,-7.7411439
206,62861F,St Columbas College,Stranorlar,Co. Donegal,,,Donegal,Donegal County Council,F93KN62,MR. THOMAS ROWAN,admin@stcolumbasstranorlar.ie,0749131246,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,402.0,439.0,841,"St Columbas College, Stranorlar, Co. Donegal",206,"Drumboe Ave, Stranorlar, Co. Donegal, Ireland",54.8040645,-7.7752411
207,62870G,Presentation College,"Ballygarraun South,","Athenry,",Co Galway,,Galway,Galway County Council,H65VA49,MR. CATHAL MOORE,office@presathenry.ie,091844144,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,517.0,559.0,1076,"Presentation College, Ballygarraun South,, Athenry,",207,"L3103, Prospect, Athenry, Co. Galway, Ireland",53.29909139999999,-8.7619332
208,62880J,Colaiste Sheosaimh,Gearrbhaile,Beál Átha na Slua,Co na Gaillimhe,,Galway,Galway County Council,H53R273,MR. STEPHEN REILLY,garbally.college@gmail.com,0909642504,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,514.0,514,"Colaiste Sheosaimh, Gearrbhaile, Beál Átha na Slua",208,"Ballinasloe, Co. Galway, Ireland",53.3287621,-8.2269467
209,62890M,Ardscoil Mhuire,Mackney,Ballinasloe,Co Galway,,Galway,Galway County Council,H53CP40,MS. PATRICIA KILGALLEN,principal@ardscoilmhuire.ie,0909642206,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,462.0,,462,"Ardscoil Mhuire, Mackney, Ballinasloe",209,"Mackney, Ballinasloe, Co. Galway, H53 CP40, Ireland",53.32230389999999,-8.2467489
210,62900M,Coláiste Mhuire,Ballygar,Co. Galway,,,Galway,Galway County Council,F42D265,MS. EMMA TURLEY,info@cmballygar.ie,0906624740,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,132.0,110.0,242,"Coláiste Mhuire, Ballygar, Co. Galway",210,"Lower Main St, Tullyroe, Ballygar, Co. Galway, Ireland",53.5243338,-8.3215176
211,62930V,St. Cuan's College,Castleblakeney,Ballinasloe,Co Galway,,Galway,Galway County Council,H53AN80,MS. COLLETTE KENNEDY,stcuanscollege@stcuans.ie,0909678127,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,165.0,142.0,307,"St. Cuan's College, Castleblakeney, Ballinasloe",211,"Castleblakeney National School, Ballinasloe, Castleblakeney, Co. Galway, Ireland",53.42894099999999,-8.4729768
212,62960H,St Joseph's College,Nun's Island,Galway,,,Galway,Galway City Council,H91C3X5,MR. JOHN MADDEN,Office@bish.ie,091565980,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,755.0,755,"St Joseph's College, Nun's Island, Galway",212,"Nun's Island, Galway, Ireland",53.2725622,-9.0579615
213,62970K,Coláiste Iognáid S.J.,Br. Na Mara,Gaillimh,,,Galway,Galway City Council,H91N732,MR. DAVID O'SULLIVAN,admin@colaisteiognaid.ie,091501550,N,N,N,N,Day,Mixed,Some pupils taught some subjects through Irish,Secondary,CATHOLIC,292.0,335.0,627,"Coláiste Iognáid S.J., Br. Na Mara, Gaillimh",213,"Sea Rd, Galway, Ireland",53.2693582,-9.0616526
214,62980N,St. Mary's College,St. Mary's Road,Galway,,,Galway,Galway City Council,H91H7F8,Eamon Veale,office@stmaryscollege.ie,091522369,N,N,N,N,Day,Boys,No subjects taught through Irish,Secondary,CATHOLIC,,383.0,383,"St. Mary's College, St. Mary's Road, Galway",214,"SAINT MARY'S COLLEGE, St Mary's Rd, Galway, Co. Galway, H91 H7F8, Ireland",53.2709827,-9.067082899999999
215,62981P,Coláiste Einde,Threadneedle Road,Galway,,,Galway,Galway City Council,H91X798,MS. DEIRBHLE QUINN,colaisteeinde@eircom.net,091521407,Y,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,319.0,473.0,792,"Coláiste Einde, Threadneedle Road, Galway",215,"Dr Mannix Road, Salthill, Co. Galway, H91 Y725, Ireland",53.2646873,-9.0830859
216,62990Q,Dominican College,Taylors Hill,Galway,,,Galway,Galway City Council,H91C573,MR. ALAN KINSELLA,office@taylorshill.ie,091523171,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,635.0,,635,"Dominican College, Taylors Hill, Galway",216,"Taylor's Hill Rd, Rosary Ln, Galway, Ireland",53.2687305,-9.075493699999999
217,63001G,Jesus & Mary Secondary School,Threadneedle Road,Salthill,Galway,,Galway,Galway City Council,H91D9H3,SR. MARY GERARDA LAWLER,admin@salerno.ie,091529500,N,N,N,N,Day,Girls,No subjects taught through Irish,Secondary,CATHOLIC,658.0,,658,"Jesus & Mary Secondary School, Threadneedle Road, Salthill",217,"507 Mulberry St, Independence, KS 67301, USA",37.2467307,-95.7122751
218,63040Q,Presentation College,Headford,Co. Galway,,,Galway,Galway County Council,H91D516,Mary Sweeney,office@presheadford.ie,09335408,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,363.0,416.0,779,"Presentation College, Headford, Co. Galway",218,"Headford, Co. Galway, Ireland",53.4683378,-9.1110104
219,63050T,Seamount College,Kinvara,Co Galway,,,Galway,Galway County Council,H91N5P2,MS. MAIGHREAD MHIC DHOMHNAILL,principal@seamountcollege.ie,091637362,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,277.0,251.0,528,"Seamount College, Kinvara, Co Galway",219,"Kinvarra, Dungory West, Kinvara, Co. Galway, Ireland",53.1387045,-8.9352155
220,63070C,St Raphaels College,Loughrea,Co Galway,,,Galway,Galway County Council,H62K271,MR. THOMAS CAFFERKY,ann.moran@saintraphaels.ie,091841062,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,354.0,316.0,670,"St Raphaels College, Loughrea, Co Galway",220,"Cross St, Farranalynch, Loughrea, Co. Galway, Ireland",53.19990420000001,-8.5609795
221,63090I,Holy Rosary College,Mountbellew,Co Galway,,,Galway,Galway County Council,H53VN50,MR. THOMAS CREHAN,info@hrc.ie,0909679222,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,336.0,372.0,708,"Holy Rosary College, Mountbellew, Co Galway",221,"Mountbellew, Co. Galway, Ireland",53.4695915,-8.4974634
222,63100I,Calasanctius College,Oranmore,Co Galway,,,Galway,Galway County Council,H91K7H2,MISS MARY CONLON,admin@calasanctius.ie,091794564,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,417.0,436.0,853,"Calasanctius College, Oranmore, Co Galway",222,"Oranmore, Innplot, Oranmore, Co. Galway, Ireland",53.26764499999999,-8.9332681
223,63101K,St Pauls,Oughterard,Co Galway,,,Galway,Galway County Council,H91PT86,MRS. ORLA MALONE,admin@stpaulsoughterard.ie,091552689,N,N,N,N,Day,Mixed,No subjects taught through Irish,Secondary,CATHOLIC,209.0,222.0,431,"St Pauls, Oughterard, Co Galway",223,"Carrowmanagh, Co. Galway, Ireland",53.4302059,-9.3291638
