,Roll Number,Official Name,Address (Line 1),Address (Line 2),Address (Line 3),Address (Line 4),County Description,Local Authority Description,Phone No.,Principal Name,Email,Eircode,Gaeltacht Indicator (Y/N),DEIS (Y/N),Island (Y/N),Irish Classification Description,Ethos Description,Female,Male,Total,School,FullAddress,Latitude,Longitude
486,12834S,ST MICHAELS,11 Barrington Street,Limerick,,,Limerick,Limerick City Council,61315927,Miriam Smyth,info@smnslimerick.ie,V94A0K7,N,N,N,No subjects through Irish,Church Of Ireland,59.0,67.0,126,"ST MICHAELS, 11 Barrington Street, Limerick","11 Barrington St, Limerick, Co. Limerick, Ireland",52.6579963,-8.6301212
487,12841P,ST PATRICKS N S,Ballyroebuck,Bunclody,Co. Wexford,,Wexford,Wexford County Council,539377410,John Paul Roban,ballyroebuckns@gmail.com,Y21KX52,N,N,N,No subjects through Irish,Catholic,53.0,45.0,98,"ST PATRICKS N S, Ballyroebuck, Bunclody","Ballyroebuck, Bunclody, Co. Wexford, Ireland",52.6506838,-6.551450099999999
488,12848G,DOONAHA N S,Doonaha West,Kilkee,Co. Clare,,Clare,Clare County Council,659057084,Mary Moloney,dunatha@gmail.com,V15FV08,N,Y,N,No subjects through Irish,Catholic,8.0,7.0,15,"DOONAHA N S, Doonaha West, Kilkee","Doonaha West, Kilkee, Co. Clare, Ireland",52.62315,-9.6477357
489,12875J,DOUGLAS NATIONAL SCHOOL,Douglas,Killorglin,Kerry,,Kerry,Kerry County Council,669762524,Caitríona Ní Luasa,douglaskillorglin@gmail.com,V93PH28,N,Y,N,No subjects through Irish,Catholic,10.0,7.0,17,"DOUGLAS NATIONAL SCHOOL, Douglas, Killorglin","Unnamed Road, Douglas, Douglas, Co. Kerry, Ireland",52.1149626,-9.8394383
490,12897T,UGHTYNEILL N S,Ughtyneill,Moynalty,Co. Meath,,Meath,Meath County Council,469244704,Áine Poyntz (Acting Principal),secretary@ughtyneillns.com,A82VW95,N,N,N,No subjects through Irish,Catholic,13.0,16.0,29,"UGHTYNEILL N S, Ughtyneill, Moynalty","Ughtyneill, Kells, Co. Meath, Ireland",53.8260102,-6.8790935
491,12936D,CLOONLYON N S,Cloonlyon,Charlestown,Co. Mayo,,Mayo,Mayo County Council,949254932,Des Haran,cloonlyon@eircom.net,F12CH96,N,Y,N,No subjects through Irish,Catholic,23.0,24.0,47,"CLOONLYON N S, Cloonlyon, Charlestown","Cloonlyon, Charlestown, Co. Mayo, Ireland",53.930644,-8.8383224
492,12938H,S N TAMHNIGHAN FHEADHA,Tavneena,Charlestown,Co. Mayo,,Mayo,Mayo County Council,949254910,Sinead Gallagher,tavneenans@gmail.com,F12R232,N,N,N,No subjects through Irish,Catholic,11.0,11.0,22,"S N TAMHNIGHAN FHEADHA, Tavneena, Charlestown",.,.,.
493,12946G,S N COILM CILLE,Ros a'Mhíl,Baile na hAbhann,Co. na Gaillimhe,,Galway,Galway County Council,91572039,Síle Nic Con Iomaire,scoilcholmcille@gmail.com,H91CD83,Y,N,N,All subjects through Irish,Catholic,22.0,31.0,53,"S N COILM CILLE, Ros a'Mhíl, Baile na hAbhann","Rossaveel, Baile na, Co. Galway, Ireland",53.2736962,-9.540395799999999
494,12954F,S N BHRIDE,Lackagh Beg,Turloughmore,Co. Galway,,Galway,Galway County Council,91797474,Shane O'Connor,lackaghschool@gmail.com,H65FE81,N,N,N,No subjects through Irish,Catholic,112.0,136.0,248,"S N BHRIDE, Lackagh Beg, Turloughmore","Lackagh, Turloughmore, Co. Galway, Ireland",53.3688046,-8.889142399999999
495,12964I,S N NAOMH SEOSAMH,Corroy,Ballymurray,Co. Roscommon,,Roscommon,Roscommon County Council,906661217,Tom Gately,ballymurrayns@gmail.com,F42PW52,N,N,N,No subjects through Irish,Catholic,54.0,59.0,113,"S N NAOMH SEOSAMH, Corroy, Ballymurray","Ballymurray, Co. Roscommon, Ireland",53.6005098,-8.1291146
496,12967O,INCHIGEELA N S,Carrighleigh,Inchigeelagh,Co. Cork,,Cork,Cork County Council,2649197,Margaret Lucey,inchigeelans@gmail.com,P12DH22,N,N,N,No subjects through Irish,Catholic,28.0,21.0,49,"INCHIGEELA N S, Carrighleigh, Inchigeelagh","Inchigeelagh, Co. Cork, Ireland",51.8424464,-9.1264323
497,12975N,ST JOSEPHS CONVENT,Lower Knockane Road,Newcastle West,Co. Limerick,,Limerick,Limerick County Council,6962778,Emily Stack White,scoiliosaf.ias@eircom.net,V42T180,N,N,N,No subjects through Irish,Catholic,229.0,1.0,230,"ST JOSEPHS CONVENT, Lower Knockane Road, Newcastle West","Knockane Rd, Knockane, Co. Limerick, Ireland",52.4395742,-9.0674736
498,12998C,S N CIANOG NAOFA,Timahoe,Coill Dubh,Naas,Co. Kildare,Kildare,Kildare County Council,45863563,Erna McCarthy (Acting),secretary@timahoens.ie,W91H260,N,N,N,No subjects through Irish,Catholic,47.0,53.0,100,"S N CIANOG NAOFA, Timahoe, Coill Dubh","Blackwood, Co. Kildare, Ireland",53.2931573,-6.818584400000001
499,13020D,OUR LADY OF MERCY N S,Carrigahilla,Stradbally,Co. Waterford,,Waterford,Waterford County Council,51293336,Thomas Walsh,ourladyofmercyns@gmail.com,X42D867,N,N,N,No subjects through Irish,Catholic,39.0,57.0,96,"OUR LADY OF MERCY N S, Carrigahilla, Stradbally","Carrickahilla, Stradbally, Co. Waterford, Ireland",52.1378868,-7.4671738
500,13026P,KILFINANE CONVENT PRIMARY SCHOOL,Castle Street,Kilfinane,Co. Limerick,,Limerick,Limerick County Council,6391326,Siobhan O'Flynn,kilfinanens@gmail.com,V35EY95,N,N,N,No subjects through Irish,Catholic,70.0,73.0,143,"KILFINANE CONVENT PRIMARY SCHOOL, Castle Street, Kilfinane","Kilfinnane, Kilfinane, Co. Limerick, Ireland",52.3586898,-8.4672787
501,13031I,ST JOSEPHS CONVENT N S,Smith's Road,Charleville,Co. Cork,,Cork,Cork County Council,6389467,Brian Fitzgerald,stjosephsconventns@gmail.com,P56AC85,N,Y,N,No subjects through Irish,Catholic,119.0,92.0,211,"ST JOSEPHS CONVENT N S, Smith's Road, Charleville","Saint Joseph's Infant School, Smiths Ln, Rathgoggan Middle, Charleville, Co. Cork, Ireland",52.3546235,-8.685934
502,13047A,S N LIOS A CUILL M,Corracoggil North,Lisacul,Castlerea,Co. Roscommon,Roscommon,Roscommon County Council,949880383,Angela Kerrane,lisaculns@hotmail.com,F45CX86,N,Y,N,No subjects through Irish,Catholic,38.0,57.0,95,"S N LIOS A CUILL M, Corracoggil North, Lisacul","Corracoggil North, Lisacul, Co. Roscommon, Ireland",53.8592062,-8.6367412
503,13080V,KILMOVEE IN S,Ballyglass,Kilmovee,Ballaghadereen,Co. Mayo,Mayo,Mayo County Council,949861282,Mary Warde,kilmoveens@eircom.net,F45R650,N,N,N,No subjects through Irish,Catholic,23.0,28.0,51,"KILMOVEE IN S, Ballyglass, Kilmovee","Kilmovee, Co. Mayo, Ireland",53.88834610000001,-8.6882088
504,13095L,S N AN DROMA MHOIR,Dromore,Bantry,Co. Cork,,Cork,Cork County Council,2831541,Gillian Fitz-Gerald,Dromorens@gmail.com,P75VX24,N,N,N,No subjects through Irish,Catholic,31.0,39.0,70,"S N AN DROMA MHOIR, Dromore, Bantry","Bantry, Co. Cork, Ireland",51.6800803,-9.452576299999999
505,13105L,ST BRIDGETS MONASTERY BOYS SENIOR SCHOOL,Muinebheag,Co. Carlow,,,Carlow,Carlow County Council,599721984,Seamus Beaton,sbpupil.ias@eircom.net,R21PR62,N,N,N,No subjects through Irish,Catholic,3.0,144.0,147,"ST BRIDGETS MONASTERY BOYS SENIOR SCHOOL, Muinebheag, Co. Carlow","Saint Brigids De La Salle School, Stationhouse Rd, Kilcarrig, Muine Bheag, Co. Carlow, Ireland",52.7002488,-6.9547026
506,13118U,CLARA CONVENT N S,Kilbeggan Road,Clara,Co. Offaly,,Offaly,Offaly County Council,579331483,Nora Kavanagh,office@sbclara.ie,R35WP04,N,Y,N,No subjects through Irish,Catholic,217.0,,217,"CLARA CONVENT N S, Kilbeggan Road, Clara","Clara, Kilcoursey, Clara, Co. Offaly, Ireland",53.3421242,-7.603987999999999
507,13125R,SCOIL DHAIRBHRE,Cruary,Clonakilty,Co. Cork,,Cork,Cork County Council,238834160,Siobhan Courtney,office@darrarans.ie,P85VX62,N,N,N,No subjects through Irish,Catholic,14.0,27.0,41,"SCOIL DHAIRBHRE, Cruary, Clonakilty","Clonakilty, Co. Cork, Ireland",51.6203379,-8.905510399999999
508,13145A,S N NAOMH COLM CILLE,The Quay,Westport,Co. Mayo,,Mayo,Mayo County Council,9826829,Kevin Munnelly,quayschool1@eircom.net,F28W267,N,N,N,No subjects through Irish,Catholic,80.0,107.0,187,"S N NAOMH COLM CILLE, The Quay, Westport","The Quay, Cloonmonad, Westport, Co. Mayo, Ireland",53.79806749999999,-9.5503204
509,13150Q,KNOCKANES MXD N S,Knockanes,Headford,Killarney,Co. Kerry,Kerry,Kerry County Council,647754038,Lucy O'Connell O'Sullivan,knockanesnationalschool@gmail.com,V93HX80,N,N,N,No subjects through Irish,Catholic,35.0,28.0,63,"KNOCKANES MXD N S, Knockanes, Headford","Knockanes, Headford, Co. Kerry, Ireland",52.0335128,-9.3777531
510,13152U,ST JOSEPHS N S,Derrydorragh,Clonken,Castlebar,Co. Mayo,Mayo,Mayo County Council,949023819,Aishling McDonnell,derrywashns@gmail.com,F23T659,N,N,N,No subjects through Irish,Catholic,65.0,36.0,101,"ST JOSEPHS N S, Derrydorragh, Clonken","Derrywash, Derrydorragh, Castlebar, Co. Mayo, Ireland",53.8216505,-9.3346277
511,13165G,KILBERRY N S,Kilberry,Athy,Co. Kildare,,Kildare,Kildare County Council,598638448,Louise Browne,kilberry.ias@eircom.net,R14EY05,N,Y,N,No subjects through Irish,Catholic,45.0,52.0,97,"KILBERRY N S, Kilberry, Athy","Kilberry, Athy, Co. Kildare, Ireland",53.0507557,-7.0224208
512,13173F,PADDOCK N S,Paddock,Mountrath,Co. Laois,,Laois,Laois County Council,578732160,Bernadette Fitzpatrick,paddocknationalschool@gmail.com,R32EV80,N,N,N,No subjects through Irish,Catholic,40.0,42.0,82,"PADDOCK N S, Paddock, Mountrath","Paddock, Mountrath, Co. Laois, Ireland",53.0229542,-7.4985084
513,13174H,ST COLUMBAS N.S.,Ballyvaum,Inishturk,Co. Mayo,,Mayo,Mayo County Council,877792096,Cora Nevin,stcolumbasns@gmail.com,H91YNP3,N,Y,Y,No subjects through Irish,Catholic,1.0,2.0,3,"ST COLUMBAS N.S., Ballyvaum, Inishturk","Bellavaum, Co. Mayo, Ireland",53.7019853,-10.1026716
514,13191H,HIGH ST MIXED N S,Highstreet,Belmont,Co. Offaly,,Offaly,Offaly County Council,906457246,Kathleen Naughton Egan,highstreetns@gmail.com,R42YW42,N,N,N,No subjects through Irish,Catholic,33.0,31.0,64,"HIGH ST MIXED N S, Highstreet, Belmont","High St, Belmont VIC 3216, Australia",-38.1773299,144.3403023
515,13196R,Taunagh National School,Riverstown,Co. Sligo,,,Sligo,Sligo County Council,719165605,Linda McMahon,taunaghns@gmail.com,F52HE92,N,N,N,No subjects through Irish,Church Of Ireland,16.0,11.0,27,"Taunagh National School, Riverstown, Co. Sligo","Riverstown, Cuiltylough, Riverstown, Co. Sligo, Ireland",54.130045,-8.397787
516,13198V,ST ANNES CON N S,The Square,Castlerea,Co. Roscommon,,Roscommon,Roscommon County Council,949620482,Jacinta Ní Chonghaile,anneschool@eircom.net,F45WN59,N,Y,N,No subjects through Irish,Catholic,85.0,36.0,121,"ST ANNES CON N S, The Square, Castlerea","Castlereagh, Castlerea, Co. Roscommon, F45 WN59, Ireland",53.76632499999999,-8.4864534
517,13203L,ST PATRICKS MXD N S,Loch Gowna,Co. Cavan,,,Cavan,Cavan County Council,436683514,Kathleen Crossan,gownans@gmail.com,H12R596,N,N,N,No subjects through Irish,Catholic,42.0,51.0,93,"ST PATRICKS MXD N S, Loch Gowna, Co. Cavan","Loch Gowna, Co. Cavan, Ireland",53.87370490000001,-7.5336731
518,13217W,HOLY FAMILY NATIONAL SCHOOL,Rathcoole,Co. Dublin,,,Dublin,South Dublin County Council,14580570,Colm Byrne,holyfamilyrathcoole@gmail.com,D24XH22,N,N,N,No subjects through Irish,Catholic,336.0,372.0,708,"HOLY FAMILY NATIONAL SCHOOL, Rathcoole, Co. Dublin","Rathcoole, Co. Dublin, Ireland",53.2801699,-6.4767635
519,13222P,SN GLEANN A CHAISIL,Bunnahowen,Ballina,Co. Mayo,,Mayo,Mayo County Council,9782283,Catherine McDonnell,gleannachaisil@gmail.com,F26NP79,Y,Y,N,Some subjects through Irish,Catholic,25.0,33.0,58,"SN GLEANN A CHAISIL, Bunnahowen, Ballina","Ballina Rd, Glencastle, Bunnahowen, Co. Mayo, Ireland",54.1956429,-9.9090142
520,13224T,ST KEVIN'S BALLYCOOG NS,Ballycoog,Avoca,Co. Wicklow,,Wicklow,Wicklow County Council,40235511,Ross Byrne,ballycoogns@gmail.com,Y14Y248,N,N,N,No subjects through Irish,Catholic,11.0,12.0,23,"ST KEVIN'S BALLYCOOG NS, Ballycoog, Avoca","Ballintemple, Ballycoog, Co. Wicklow, Ireland",52.8279334,-6.264315499999999
521,13225V,CORMAIC NFA,Killeennashask,Garranard,Ballina,Co. Mayo,Mayo,Mayo County Council,9631832,Rosemary Alexander (Acting),carnns@gmail.com,F26KW35,N,Y,N,No subjects through Irish,Catholic,19.0,21.0,40,"CORMAIC NFA, Killeennashask, Garranard",.,.,.
522,13234W,CLOUGHDUV N S,Cloughduv,Crookstown,Co. Cork,,Cork,Cork County Council,217336548,Sylvia Linehan,cloughduvnationalschool@gmail.com,P14TN92,N,N,N,No subjects through Irish,Catholic,56.0,65.0,121,"CLOUGHDUV N S, Cloughduv, Crookstown","Cloughduv House, Coolmucky, Crookstown, Co. Cork, Ireland",51.8463885,-8.7887842
523,13242V,CASTLEROCK N S,Drummartin,Aclare,Co. Sligo,,Sligo,Sligo County Council,719181234,Carmel Burke,castlerockns@gmail.com,F91DV27,N,Y,N,No subjects through Irish,Catholic,10.0,28.0,38,"CASTLEROCK N S, Drummartin, Aclare","Drummartin, Co. Sligo, Ireland",54.0619725,-8.859174699999999
524,13246G,MONEYSTOWN N S,Moneystown,Roundwood Bray,Co. Wicklow,,Wicklow,Wicklow County Council,40445477,Mary Tallon,oifig@moneystownns.ie,A98VF83,N,N,N,No subjects through Irish,Catholic,65.0,51.0,116,"MONEYSTOWN N S, Moneystown, Roundwood Bray","Moneystown, Parkmore, Bray, Co. Wicklow, Ireland",53.0035937,-6.1991311
525,13262E,CLOVER HILL N S,Lisagallan,Cloverhill,Co. Roscommon,,Roscommon,Roscommon County Council,906625854,Catherine Mullarkey,cloverhillns@campus.ie,F42KH29,N,N,N,No subjects through Irish,Catholic,22.0,43.0,65,"CLOVER HILL N S, Lisagallan, Cloverhill","Cloverhill National School, Cloverhill, Co. Roscommon, Ireland",53.6529485,-8.2519894
526,13271F,FAIRGREEN N S,Railway Road,Belturbet,Co. Cavan,,Cavan,Cavan County Council,499522803,Beryl Trenier,fairgreenbelturbet@eircom.net,H14HK71,N,Y,N,No subjects through Irish,Church Of Ireland,17.0,23.0,40,"FAIRGREEN N S, Railway Road, Belturbet","Railway Rd, Corporation Lands, Belturbet, Co. Cavan, Ireland",54.0989352,-7.4433239
527,13286S,TIRELTON N S MXD,Tarelton,Macroom,Co. Cork,,Cork,Cork County Council,2646362,Thomas Healy,tarelton.ias@eircom.net,P12HR24,N,N,N,No subjects through Irish,Catholic,44.0,38.0,82,"TIRELTON N S MXD, Tarelton, Macroom","na, Tirelton, Macroom, Co. Cork, P12 HR24, Ireland",51.8372603,-8.9904989
528,13299E,GLANBRIAN N S,Gallinastraw,Glenbrien,Co. Wexford,,Wexford,Wexford County Council,539138398,Fiona Cleere,glenbrienns@gmail.com,Y21FV38,N,N,N,No subjects through Irish,Catholic,38.0,47.0,85,"GLANBRIAN N S, Gallinastraw, Glenbrien","Glenbrien National School, Ballynastraw, Ballinastraw, Co. Wexford, Ireland",52.4647155,-6.5003913
529,13311O,ST PATRICKS NS,Clare Island,Westport,Co. Mayo,,Mayo,Mayo County Council,871675632,Mary Winters,clareislandprimary@gmail.com,F28F516,N,N,Y,No subjects through Irish,Catholic,9.0,7.0,16,"ST PATRICKS NS, Clare Island, Westport","Kille, Clare Island, Kill, Westport, Co. Mayo, F28 F516, Ireland",53.793183,-9.9898446
530,13313S,"St. John's National School,",Ballinalee Road,Edgeworthstown,Co. Longford,,Longford,Longford County Council,436671620,Gail Burchill,stjohnsnsedge@gmail.com,N39F211,N,N,N,No subjects through Irish,Church Of Ireland,13.0,13.0,26,"St. John's National School,, Ballinalee Road, Edgeworthstown","Edgeworthstown, Co. Longford, Ireland",53.6956862,-7.608492999999999
531,13320P,FERMOYLE MIXED N S,Fermoyle,Lanesboro,Co. Longford,,Longford,Longford County Council,433321959,Patricia Boyce,fermoylens@gmail.com,N39E899,N,Y,N,No subjects through Irish,Catholic,45.0,70.0,115,"FERMOYLE MIXED N S, Fermoyle, Lanesboro","Fermoyle National School, Formoyle (Newcomen), Lanesborough, Co. Longford, Ireland",53.6246602,-7.9933557
532,13328I,ST PATRICKS N S,Morristown,Newbridge,Co. Kildare,,Kildare,Kildare County Council,45432446,Joseph O'Connor,scopadnua.ias@gmail.com,W12FH94,N,N,N,No subjects through Irish,Church Of Ireland,93.0,108.0,201,"ST PATRICKS N S, Morristown, Newbridge","Morristown Rd, Moorfield, Newbridge, Co. Kildare, Ireland",53.1779536,-6.8140395
533,13335F,COURT N S,Court,Gorey,Co. Wexford,,Wexford,Wexford County Council,539389342,Brendan Roache,info@courtns.ie,Y25WN22,N,N,N,No subjects through Irish,Catholic,68.0,64.0,132,"COURT N S, Court, Gorey","Court, Gorey, Co. Wexford, Ireland",52.55334999999999,-6.3417672
534,13343E,SCOIL BHRIDE,Stillbrook,Mountrath,Co. Laois,,Laois,Laois County Council,578732423,Mary Rohan,bridnaofamountrath@gmail.com,R32F802,N,Y,N,No subjects through Irish,Catholic,83.0,,83,"SCOIL BHRIDE, Stillbrook, Mountrath","Stillbrook, Mountrath, Co. Laois, Ireland",53.0002948,-7.476303199999999
535,13350B,SCOIL BRIDE,Athgarvan,The Curragh,Co. Kildare,,Kildare,Kildare County Council,45441645,Kathleen Gallagher,athgarvansecretary@gmail.com,R56A436,N,N,N,No subjects through Irish,Catholic,152.0,166.0,318,"SCOIL BRIDE, Athgarvan, The Curragh","Curragh Cl, Blackrath, Newbridge, Co. Kildare, Ireland",53.1492284,-6.7983558
536,13365O,SCOIL MHUIRE,Castle Road,Oranmore,Co. Galway,,Galway,Galway County Council,91794184,Edel Ní Cheatharnaigh,scoilmhuireoranmore@eircom.net,H91F9T8,N,N,N,No subjects through Irish,Catholic,348.0,89.0,437,"SCOIL MHUIRE, Castle Road, Oranmore","Scoil Mhuire, Castle Rd, Oran More, Oranmore, Co. Galway, Ireland",53.2673363,-8.9318252
537,13375R,SCOIL BHRIDE,Crossmahon,Bandon,Co. Cork,,Cork,Cork County Council,238844266,Claire O' Connell,principal@crossmahonns.com,P72XK20,N,N,N,No subjects through Irish,Catholic,104.0,111.0,215,"SCOIL BHRIDE, Crossmahon, Bandon","Knocknagarrane, Cross Mahon, Co. Cork, Ireland",51.7270742,-8.769932899999999
538,13379C,S N PADRAIG NFA FANOIR,Fanore,Ballyvaughan,Co. Clare,,Clare,Clare County Council,657076197,Bríd Queally,fans2@eircom.net,H91P6F7,N,N,N,No subjects through Irish,Catholic,11.0,18.0,29,"S N PADRAIG NFA FANOIR, Fanore, Ballyvaughan","Fanore Beg, Fanore, Co. Clare, Ireland",53.10493,-9.295539999999999
539,13383Q,S N AN TSRAITH,Bunnahowen,Ballina,Co. Mayo,,Mayo,Mayo County Council,9781636,Margaret Conroy,shraighns@gmail.com,F26C672,Y,Y,N,No subjects through Irish,Catholic,10.0,7.0,17,"S N AN TSRAITH, Bunnahowen, Ballina","Carrowkeel, Bunnahowen, Co. Mayo, Ireland",54.1919099,-9.9054109
540,13389F,SN AN TRIAN LAIR,Midfield,Swinford,Co. Mayo,,Mayo,Mayo County Council,949252037,Antoine Ó Fathaigh,midfieldns@gmail.com,F12C429,N,N,N,No subjects through Irish,Catholic,34.0,37.0,71,"SN AN TRIAN LAIR, Midfield, Swinford","Treanlaur, Midfield, Co. Mayo, Ireland",53.897116,-8.927196
541,13402R,KNOCKRAHA N S,Knockraha,Co. Cork,,,Cork,Cork County Council,214866727,Niamh O'Sullivan,officeknockrahans@gmail.com,T56CY50,N,N,N,No subjects through Irish,Catholic,85.0,80.0,165,"KNOCKRAHA N S, Knockraha, Co. Cork","Gogganstown, Knockraha, Co. Cork, Ireland",51.9582892,-8.3396802
542,13404V,Scoil Mhuire Gan Smál,New Inn,Co. Tipperary,,,Tipperary,Tipperary (Sr) County Council,527462122,Tomas McLoughlin,info@newinngirlsschool.ie,E25VH05,N,N,N,No subjects through Irish,Catholic,96.0,24.0,120,"Scoil Mhuire Gan Smál, New Inn, Co. Tipperary","Loughkent East, Newinn, Co. Tipperary, Ireland",52.4409429,-7.8837206
543,13415D,SN TUAIRINI,Tuairíní,Maigh Cuilinn,Co. na Gaillimhe,,Galway,Galway County Council,91555650,Marcus O'Regain,scoiltuairini@gmail.com,H91YR64,Y,N,N,All subjects through Irish,Catholic,41.0,44.0,85,"SN TUAIRINI, Tuairíní, Maigh Cuilinn","Tooreeny National School, Tooreeny, Moycullen, Co. Galway, Ireland",53.3068537,-9.1530849
544,13418J,BALLYEA MIXED N S,Ballyea,Darragh,Ennis,Co. Clare,Clare,Clare County Council,656838144,Martin McMahon,ballyeans.ias@eircom.net,V95Y025,N,N,N,No subjects through Irish,Catholic,104.0,104.0,208,"BALLYEA MIXED N S, Ballyea, Darragh","Ballyea, Tiermaclane, Co. Clare, Ireland",52.7839167,-9.0296878
545,13444K,S N BEAL ATHA NA HEIN,Ballyhean,Castlebar,Co. Mayo,,Mayo,Mayo County Council,949030803,Anne-Marie Reid,ballyheanens@gmail.com,F23V124,N,N,N,No subjects through Irish,Catholic,50.0,35.0,85,"S N BEAL ATHA NA HEIN, Ballyhean, Castlebar","Castlebar, Co. Mayo, Ireland",53.8550014,-9.287925699999999
546,13447Q,SCOIL MHUIRE,Lucan Road,Lucan,Co. Dublin,,Dublin,South Dublin County Council,16280056,Mary Davin,smgns.lucan@gmail.com,K78DK18,N,N,N,No subjects through Irish,Catholic,638.0,,638,"SCOIL MHUIRE, Lucan Road, Lucan","Lucan Rd, St. Edmondsbury, Lucan, Co. Dublin, K78 DK18, Ireland",53.3590634,-6.4398652
547,13450F,Bunscoil Rinn an Chabhlaigh,Rushbrooke,Cobh,Co. Cork,,Cork,Cork County Council,214811019,Sinéad Flannery,jdonoghue@bsrac.ie,P24VN20,N,N,N,No subjects through Irish,Catholic,337.0,387.0,724,"Bunscoil Rinn an Chabhlaigh, Rushbrooke, Cobh","Norwood Grove, Rushbrooke, Cobh, Co. Cork, Ireland",51.84993739999999,-8.3146027
548,13459A,S N GALLBHAILE,Galbally,Co. Tipperary,,,Limerick,Limerick County Council,6237933,Martin Kearney,galballyns@gmail.com,E34XN57,N,N,N,No subjects through Irish,Catholic,50.0,68.0,118,"S N GALLBHAILE, Galbally, Co. Tipperary","Galbally, Co. Limerick, Ireland",52.4012269,-8.296125199999999
549,13483U,S N ATH NA LIONTA,Mourneabbey,Mallow,Co. Cork,,Cork,Cork County Council,2229277,Cormac Duggan,analeentha.ias@eircom.net,P51PF72,N,N,N,No subjects through Irish,Catholic,38.0,52.0,90,"S N ATH NA LIONTA, Mourneabbey, Mallow","Mallow, Garrynagearagh, Mallow, Co. Cork, Ireland",52.0688714,-8.6379625
550,13498K,CLOONFOUR N S,Cloonfour,Rooskey,Co. Roscommon,,Roscommon,Roscommon County Council,719638177,Ciara Kearney,cloonfourns@hotmail.com,N41CH63,N,N,N,No subjects through Irish,Catholic,9.0,15.0,24,"CLOONFOUR N S, Cloonfour, Rooskey","Roosky, Co. Roscommon, Ireland",53.8327737,-7.921534899999998
551,13500R,MOUNT PLEASANT N S,Ballyglass,Claremorris,Co. Mayo,,Mayo,Mayo County Council,949360125,Mary Leydon,mountpleasantns@gmail.com,F12YX45,N,N,N,No subjects through Irish,Catholic,36.0,50.0,86,"MOUNT PLEASANT N S, Ballyglass, Claremorris","Slishmeen, Co. Mayo, F12 YX45, Ireland",53.7461052,-9.1771175
552,13507I,S N MUIRE LOURDES,Mill Street,Tullow,Co. Carlow,,Carlow,Carlow County Council,599151875,Marie Coen,tullowgns.ias@eircom.net,R93Y960,N,N,N,No subjects through Irish,Catholic,251.0,,251,"S N MUIRE LOURDES, Mill Street, Tullow","Mill St, Templeowen, Tullow, Co. Carlow, Ireland",52.8008302,-6.734406099999999
553,13512B,SCOIL MHUIRE LOURDES,Ballea Road,Carrigaline,Co. Cork,,Cork,Cork County Council,214371875,Aidan Crowley,office@scoilmhuirelourdes.ie,P43F620,N,N,N,No subjects through Irish,Catholic,,389.0,389,"SCOIL MHUIRE LOURDES, Ballea Road, Carrigaline","Ballea Rd, Carrigaline West, Carrigaline, Co. Cork, Ireland",51.819619,-8.397268
554,13530D,SCOIL MHUIRE,Moyderwell,Tralee,Co. Kerry,,Kerry,Kerry County Council,667124403,Moira Quinlan,admin@moyderwellmercy.ie,V92AE70,N,Y,N,No subjects through Irish,Catholic,154.0,250.0,404,"SCOIL MHUIRE, Moyderwell, Tralee","Moyderwell, Cloon Beg, Tralee, Co. Kerry, Ireland",52.2681291,-9.6997039
555,13540G,MURHUR N S,Listowel Road,Moyvane,Co. Kerry,,Kerry,Kerry County Council,6849522,Maria O'Regan,info@murhurns.com,V31T227,N,N,N,No subjects through Irish,Catholic,32.0,36.0,68,"MURHUR N S, Listowel Road, Moyvane","Church of the Assumption, Listowel Rd, Cloonbrane, Newtown Sandes, Co. Kerry, Ireland",52.5007826,-9.3720564
556,13543M,DERRINACAHARA N S,Derrinacahara,Dunmanway,Co. Cork,,Cork,Cork County Council,877633558,Gabrielle Crowley,gabriellecrowley5@gmail.com,P47VX89,N,Y,N,No subjects through Irish,Catholic,27.0,30.0,57,"DERRINACAHARA N S, Derrinacahara, Dunmanway","Derrinacahara, Dunmanway, Co. Cork, Ireland",51.7529551,-9.1765797
557,13555T,S N FAITCHE,Toorgarve,Fahy,Westport,Co. Mayo,Mayo,Mayo County Council,9841531,Máire Nic an Fhailghigh,fahyns@yahoo.ie,F28R9C9,N,Y,N,No subjects through Irish,Catholic,50.0,48.0,98,"S N FAITCHE, Toorgarve, Fahy","Fahy, Co. Mayo, Ireland",53.8501218,-9.4920782
558,13563S,S N CHILL COINNIGH,Kilkenny,Glenties,Co. Donegal,,Donegal,Donegal County Council,749544270,Annette Breslin,kilkennyns@gmail.com,F94CX21,N,Y,N,No subjects through Irish,Catholic,13.0,7.0,20,"S N CHILL COINNIGH, Kilkenny, Glenties","Kilkenny, Ireland",52.6541454,-7.2447879
559,13571R,DRUMRANEY MIXED N S,Drumraney,Athlone,Co. Westmeath,,Westmeath,Westmeath County Council,449356009,Laura Silke,drumraneyns@eircom.net,N37V240,N,N,N,No subjects through Irish,Catholic,9.0,18.0,27,"DRUMRANEY MIXED N S, Drumraney, Athlone","Newgrove, Co. Westmeath, Ireland",53.4765767,-7.748619199999999
